id,slug,name,abv_max,abv_min,aroma,bitterness,body,description,history,ibu_max,ibu_min,origin,serving_temp_max,serving_temp_min,sourness,srm_max,srm_min,sweetness
11,biere-de-garde,ビエール・ド・ギャルド,8.5,6,3,2,4,フランス北部発祥の「貯蔵ビール」。セゾンに似るが、よりモルトの風味が豊かでアルコール度数が高いことが多い。熟成による複雑な味わいが特徴。,"仏北部（フランドル地方）農家で伝統的に造られた「貯蔵用ビール」。
ベルギーのセゾンと起源や目的は似るが、一般的にセゾンより麦芽風味が豊かでボディしっかり、アルコール度数もやや高め（6-8.5%）。
色はブロンド、アンバー、ブラウンの3タイプ。共通する特徴は複雑な麦芽風味（トースト、ビスケット、カラメル、ドライフルーツ等）と熟成によるまろやかさ。酵母由来の香りはセゾンより穏やかなことが多い。ホップは控えめ。
瓶内熟成・コルク栓が多いのも特徴。",28,18,19世紀以前～、フランス北部（フランドル地方）,13,10,1,19,6,3
12,black-ipa,ブラックIPA,9,5.5,4,4,4,IPAの強烈なホップの風味と、ダークなスタウトの見た目を併せ持つハイブリッドスタイル。濃い褐色から黒色の外観ながら、柑橘系やパイン系のホップの香りと風味が特徴的。ほのかなロースト感も楽しめる個性的なビールです。,"アメリカのクラフトビールシーンで2000年代半ば頃に登場した、比較的新しいIPAのサブスタイルです。「カスケードダークエール（CDA）」とも呼ばれます。
その名の通り、見た目はポーターやスタウトのように黒い（Black）ですが、味わいはIPAのようにホップの香り（柑橘、松、トロピカルなど）と苦味が前面に出ているのが特徴です。
醸造における挑戦は、濃い色と若干のロースト風味（コーヒーやチョコレートのニュアンス）を加えつつも、スタウトのような強い焦げ臭さや重さがホップの風味を邪魔しないようにバランスを取ることです。通常、殻皮を取り除いた色の濃い麦芽（デハスクド・ローストモルト）などを少量使用することで、これを実現しています。
アメリカ北西部（カスケード地域）やバーモント州のブルワーが初期の発展に貢献したとされ、IPAの多様性を示すユニークなスタイルとして広まりました。",90,50,2000年代半ば、アメリカ（太平洋岸北西部/バーモント州など）,12,8,1,40,25,2
13,bock,ボック,7.2,6.3,3,2,4,ドイツ発祥の強いラガービール。濃い琥珀色から濃褐色の色合いで、モルトのリッチな風味と甘みが特徴。通常のラガーより高いアルコール度数とボディ感を持つ伝統的なスタイルです。,"ドイツ発祥の高アルコール（6.3%以上）ストロング・ラガー。起源は14世紀北ドイツの都市アインベック（Einbeck）の高アルコールエールとされます。
17世紀にバイエルン・ミュンヘンに技術が伝わり、下面発酵と融合して現在のスタイルに。「ボック」はEinbeckの訛り、または「雄ヤギ」（ラベルによく描かれる）に由来する説があります。
伝統的なボックは濃色（琥珀色～茶色）で、麦芽の豊かな風味（トースト、カラメル）が主体、ホップは穏やか。特定の季節（冬～春）に飲まれます。
マイボック（淡色）、ドッペルボック（強力）、アイスボック（凍結濃縮）などの派生スタイルがあります。",27,20,原型は14世紀ドイツ・アインベック、ラガー化は17世紀ドイツ・バイエルン,10,7,1,22,14,3
14,braggot,ブラゴット,14,5,5,2,4,ビール（麦芽）とミード（蜂蜜酒）のハイブリッド。麦芽と蜂蜜の両方を発酵させて造られる。甘みとアルコール度数が高いことが多い。,"麦芽（ビール）と蜂蜜（ミード）の両方を主原料として発酵させる古代からのアルコール飲料。ビールとミードの中間的ハイブリッド。
起源は古く、中世英・アイルランド・ウェールズ等で特に飲まれた記録あり。当時はエールに蜂蜜を加え風味・度数を高める、麦芽と蜂蜜を一緒に煮込み発酵させる等。スパイス/ハーブが加わることも。
現代クラフトでは歴史的レシピ再現や、自由な発想で様々なベースビールに大量の蜂蜜を加えて造られる。
蜂蜜の種類/量、ベースビールにより味は大きく異なるが、一般的に高アルコール、蜂蜜由来の華やかな香りや濃厚な甘み、麦芽由来のコクが感じられるリッチで複雑な飲み物。",50,15,古代～中世、ヨーロッパ（特にイギリス、アイルランドなど）,14,10,1,30,5,4
15,brut-ipa,ブリュットIPA,7.5,6,5,3,1,シャンパンのように極めてドライな飲み口を目指したIPA。酵素を使って糖分を完全に分解させ、強いホップアロマと高い炭酸、キレのある後味が特徴。,"2017年頃米サンフランシスコで考案され一時注目されたIPAサブスタイル。「ブリュット」はシャンパン用語で「極辛口」。
最大の特徴は醸造過程で酵素（アミログルコシダーゼ）を添加すること。これにより通常は分解できない糖類も酵母が消費可能な単糖類に分解され、残留糖分が極めて少なく非常にドライに仕上がる。
味わいは、極めて軽いボディとドライな後味、高い炭酸ガス圧によるシャンパン様の泡立ちが特徴。ホップ香は豊かだが、甘みがなく苦味やアロマがよりシャープに感じられる。",40,20,2017年頃、アメリカ・サンフランシスコ,9,6,1,4,2,0
16,california-common,カリフォルニア・コモン,5.5,4.5,3,3,3,アメリカ西海岸発祥のユニークなビール。ラガー酵母をエールのような比較的高温で発酵させるのが特徴。アンバーな色合いで、モルトの風味と特徴的なホップの香りが共存する。,"19世紀後半、ゴールドラッシュ時代のカリフォルニアで生まれたアメリカ独自スタイル。
冷却設備が乏しかった当時、入手できたラガー酵母をエールのような比較的高温で発酵させたのが特徴。冷却時の蒸気(Steam)が名前の由来とも言われます。
色は明るい琥珀色。トーストやキャラメル様の麦芽風味と、ノーザンブルワー等のホップ由来の木やミントのような独特の香り、しっかりした苦味を持ちます。
一時は絶滅寸前でしたが、アンカー社が「アンカー・スチーム」として復活・維持しました（Steam Beerは同社の登録商標です）。",45,30,19世紀後半、アメリカ・カリフォルニア州,10,7,1,14,10,2
17,catharina-sour,カタリナサワー,5.5,4,5,-1,2,ブラジル発祥の現代的なサワービール。ケトルサワー製法によるクリーンな酸味と、大量のトロピカルフルーツの使用が特徴。低アルコールで爽快。,"ブラジル（特にサンタカタリーナ州）で近年（2015年頃～）発展した新しいサワーフルーツビール。
独ベルリナーヴァイセ/ゴーゼに影響受けるがブラジル独自の特徴を持つ。基本製法として短時間でクリーンな乳酸発酵を行う「ケトルサワー」が多く用いられ、爽やかで飲みやすい酸味に。
最大の特徴は、ブラジル産の豊富なトロピカルフルーツ（パッションフルーツ、グアバ等）を発酵中/後に大量投入すること。これによりフルーツ由来の鮮やかな色・華やかな香り・ジューシーな甘みがベースの酸味と一体化。
アルコール低め（4-5.5%）、ホップ苦味ほぼなし。ブラジルの暑い気候に適したフルーティーで爽快な飲み口。",8,2,2015年頃～、ブラジル（サンタカタリーナ州）,8,5,4,7,3,3
18,cold-ipa,コールドIPA,7.5,6,5,4,2,IPAのようなホップ感を持ちつつ、ラガーのようなクリーンでクリスプな飲み口を目指した新しいスタイル。ラガー酵母の使用や副原料の使用が特徴的。,"2018年頃米オレゴン州Wayfinder Beerが提唱・開発した非常に新しいスタイル。
コンセプトは「IPAのようにホップを効かせつつ、よりドライでクリスプな飲み口」。
特徴的な醸造技術として、ベース麦芽に風味をクリーンにする副原料（米、コーン等）を多く使用。酵母にはクリーンなラガー酵母を用い、通常より高温（エールに近い温度）で発酵させることも。ホップはIPAらしく大量使用しアロマ重視。
結果、強いホップ香・苦味はIPAのように際立つが、ボディは非常に軽く、後味は極めてドライでキレが良い、ラガーのような爽快感を併せ持つ新しい「IPA風」ビール。IPLとは異なるアプローチ。",70,50,2018年頃、アメリカ・オレゴン州,8,5,1,5,2,1
19,cream-ale,クリームエール,5.6,4.2,2,2,2,アメリカ発祥の軽快なエールビール。エールとラガーの中間的特性を持ち、非常にクリーンで軽い飲み口が特徴。コーンやライス等のアジャンクト（副原料）を使用することもあり、さわやかでクリスプな喉越しのビールです。,"19世紀半ば～後半、アメリカ北東部で生まれた独自スタイル。
当時人気の淡色ラガーに対抗し、エール醸造家がラガーのような「淡色・軽快・爽快」なエールを目指して開発しました。
製法は多様で、エール酵母を低温で使う、ラガー酵母をブレンドする、低温熟成するなど。ボディを軽くするため、トウモロコシや米等の副原料（アジャンクト）もしばしば使われます。
「クリーム」の名は乳製品由来ではなく、当時の他のエールより滑らかで上質とのイメージからと考えられます。非常に飲みやすく、すっきりした味わいです。",20,8,19世紀半ば～後半、アメリカ北東部,7,4,1,5,2.5,2
20,czech-amber-lager,チェコ・アンバーラガー,5.8,4.4,3,2,3,チェコ共和国の伝統的なアンバー色のラガー。ピルスナーモルトとカラメルモルトを使用し、モルトの豊かな風味とザーツホップの香りがバランス。,"チェコ（ボヘミア地方）伝統の琥珀色ラガー。チェコ語では「Polotmavý Ležák（半暗色のラガー）」。
ピルゼンモルトをベースに、カラメルモルト等を少量加え、特徴的な色合いと、パン、トースト、キャラメル様のより豊かで複雑な麦芽風味を引き出す。
ホップは主に香り高い地元産ザーツホップを使用。スパイシー・フローラルな香りと心地よい苦味が麦芽の甘みと調和。
ピルスナー（Světlý）とダークラガー（Tmavý）の中間に位置づけられ、豊かなモルト感を持ちつつ、ラガーらしいクリーンな飲み口を持つバランスの良いスタイル。",35,20,19世紀～、チェコ共和国（ボヘミア地方）,10,7,1,16,10,3
21,czech-dark-lager,チェコ・ダークラガー,5.8,4.4,3,2,4,チェコ共和国の伝統的なダークラガー。ドイツのデュンケルやシュバルツビアとは異なり、モルトのロースト感は控えめで、甘みと滑らかさが特徴。,"チェコ（ボヘミア地方）伝統の濃色ラガー。チェコ語では「Tmavý Ležák（暗色のラガー）」。
独ダークラガー（デュンケル、シュバルツ）と比べ、濃色麦芽の使用は比較的控えめで、強い焦げ臭さや苦味はほぼない。ピルゼンモルトベースにミュニック/カラメルモルト等を組み合わせ、色は濃いが味は滑らかで、麦芽由来のカラメル、コーヒー、ダークフルーツ等の甘みとコク、微かなロースト感が主体。
ホップはザーツが多く、上品な香りと苦味がバランスを取る。独ダークラガーよりボディ豊かで甘みがやや強い傾向があるチェコ独自スタイル。",34,18,19世紀～、チェコ共和国（ボヘミア地方）,10,7,1,35,14,3
22,doppelbock,ドッペルボック,10,7,4,2,5,ドイツの伝統的なボックビールの強いバージョン。「ドッペル」はドイツ語で「二重」を意味し、通常のボックよりも濃厚でアルコール度数が高いリッチなラガービール。濃いカラメル風味と甘みあるモルト感が特徴です。,"ドイツのボックをさらに強力にした高アルコール（7-10%）ストロング・ラガー。「ドッペル」は「ダブル」の意味。
起源は17世紀ミュンヘンのパウラーナー修道院。修道士が四旬節の断食期間の栄養源として醸造した濃厚な「ザンクト・ファーター・ビア」が始まり。後に「サルヴァトール（救世主）」の名で知られ元祖となりました（多くのドッペルボックが「～トール」と名乗るのはこれに由来）。
色は金色～濃茶色。共通して非常にリッチで濃厚な麦芽風味（トースト、カラメル、ダークフルーツ等）が特徴。ホップは最小限で、麦芽の複雑な甘みとコク、アルコールの温かみが主役です。",26,16,17世紀、ドイツ・ミュンヘン（パウラーナー修道院）,12,8,1,25,6,4
23,dortmunder-export,ドルトムンダー・エクスポート,6,4.8,2,2,3,ドイツ・ドルトムント発祥のラガービール。「エクスポート」は輸出用に少しアルコール度数を高めたことを示す。ヘレスとピルスナーの中間的な性格を持つ。,"19世紀後半（1870年代頃）、独工業都市ドルトムントで生まれたラガー。
人気のピルスナーに対抗するために開発されたが、ドルトムントの水質（硬水）に適した独自スタイルに。「エクスポート」の名は、輸出用に保存性を高めるため、通常のラガーよりアルコール度数をやや高め（5-6%）に造られたことに由来。
味わいは、ヘレスのようなしっかりした麦芽風味と、ピルスナーのような爽やかなホップ苦味（ピルスナー程ではない）の中間バランス。ミディアムボディで後味はドライ。硫酸塩由来のミネラル感が風味を引き締めることも。かつては独で非常に人気があったスタイル。",30,20,1870年代、ドイツ・ドルトムント,8,5,1,6,4,2
24,double-ipa,ダブルIPA,10,7.5,5,5,4,通常のIPAよりもホップ使用量とアルコール度数が増した強烈なIPA。強い苦味とホップの香り、そしてリッチなモルトの風味が調和したパワフルなスタイルで、アメリカのクラフトビールシーンで人気を博しています。,"アメリカのクラフトビールシーンが生んだ、IPAをさらに強力にしたスタイルです。「インペリアルIPA」とも呼ばれます。
1990年代後半から2000年代初頭にかけて、より強烈なホップ体験を求めるブルワーと消費者の要望に応える形で登場しました。
通常のIPAよりも多くの麦芽とホップを使用し、アルコール度数は高く（多くは7.5～10%程度）、ホップ由来の香り（松、柑橘、トロピカルフルーツなど）と苦味も格段に強調されています。
ただし、単に苦いだけでなく、高いアルコール度数とバランスを取るためのしっかりとした麦芽の風味（モルト・バックボーン）も併せ持つのが特徴です。
ロシアリバー・ブルーイングカンパニーの「ブラインド・ピッグIPA」や、その後の「プリニー・ジ・エルダー」などが初期の代表例として有名で、ホップ好きのビールファンには欠かせないスタイルとなりました。",120,60,1990年代後半～2000年代初頭、アメリカ,12,8,1,14,6,3
25,dubbel,デュッベル,7.6,6,4,2,4,ベルギー修道院発祥の赤褐色のエールビール。複雑なモルトの風味とベルギー酵母由来のフルーティーさ、スパイシーさが特徴。ドライな後味と隠れた甘みのバランスが絶妙な奥深いスタイルです。,"ベルギーのトラピスト修道院で発展した、濃い茶色の上面発酵エール。「デュッベル」は「ダブル（2倍）」を意味し、修道院で日常的に飲まれていた軽めの「シングル」に比べて麦芽を多く使う（またはアルコール度数が高い）ことから名付けられたと考えられます。
中世から修道院では様々なビールが造られていましたが、現代のデュッベルの原型は、ウェストマール修道院醸造所が1926年に「Dubbel Bruin」として再登場させたものとされています。
特徴は、深い赤みがかった茶色、中程度のアルコール度数（多くは6～7.6%）、ダークフルーツ（レーズン、プラム、デーツなど）やカラメル、トーストを思わせる複雑な麦芽の風味と、ベルギー酵母由来のスパイシーさ、フルーティーな香りです。しばしばダークキャンディシュガーが使われ、色と風味に深みを与えます。
苦味は控えめで、ミディアムボディながら比較的ドライに仕上がっています。",25,15,原型は19世紀以前、現代版は1926年、ベルギー（ウェストマール修道院）,13,10,1,17,10,3
26,dunkel,デュンケル,5.6,4.5,3,2,3,ドイツのミュンヘンを発祥とする濃褐色のラガー。ロースト麦芽のリッチな風味とほのかな甘みがあり、しっかりとした味わいながらも飲みやすさを兼ね備えているバイエルン地方の伝統的ビールです。,"ドイツ語で「暗い、濃い色 (Dunkel)」を意味する、バイエルン地方発祥の伝統的なダークラガー（下面発酵）です。
淡色のピルスナーやヘレスが登場する以前、中世からバイエルン地方で造られていた初期のラガービールは、主にこのような濃色タイプでした。
ミュンヘン・デュンケル（ミュンヒナー・デュンケル）が最も代表的で、麦芽をやや高温で乾燥させることで生まれる「ミュニックモルト」を主体に使用します。これにより、パンのクラスト（耳）、トースト、ナッツ、チョコレートのような、豊かで香ばしい麦芽の風味（メラノイジン）と、赤みがかった濃い茶色が得られます。スタウトやポーターのような強い焙煎香や苦味はなく、あくまでも麦芽の柔らかな甘みとコクが主役です。
ホップの苦味は控えめで、ラガーらしいクリーンな後味を持ちます。ミュンヘンではヘレスが登場するまで日常的に飲まれていた、歴史あるスタイルです。",28,18,中世後期、ドイツ・バイエルン地方,10,7,1,28,14,3
27,dunkelweizen,デュンケルヴァイツェン,5.6,4.3,4,1,4,ドイツの伝統的な小麦ビール「ヴァイツェン」のダークバージョン。バナナやクローブの香りに加え、色の濃い麦芽由来のパンやカラメルのような風味が特徴。濃厚ながらも飲みやすい。,"ドイツ語で「暗い小麦」を意味するバイエルン地方発祥のダーク・ウィートエール。
基本的な製法や酵母はヘフェヴァイツェンと同様で、小麦麦芽を多く（50%以上）使用する上面発酵エールです。
色の違いは、ベース麦芽に色の濃いミュニックモルト等や少量のローストモルトを使うことに由来します。
これにより、ヘフェヴァイツェン特有のバナナ・クローブ香に加え、パン、トースト、カラメル、時にはチョコやナッツのような豊かで香ばしい麦芽風味が重なります。
見た目は濃いですが苦味は穏やかで、口当たりは滑らか。濃厚な風味と飲みやすさを両立しています。",18,10,中世～、ドイツ・バイエルン地方,10,7,1,23,14,3
28,eisbock,アイスボック,14,9,4,2,5,ボックやドッペルボックを凍結濃縮して造られる極めて強いドイツのラガー。非常にリッチなモルト風味と高いアルコール、滑らかな口当たりが特徴。,"ドイツのボック、特にドッペルボックを凍結濃縮しアルコール度数を高めた強力なラガー。「アイス」は氷の意味。
伝説では、冬に置き忘れた樽のビールの一部が凍結し、凍らなかった液体部分（高アルコールで凝固点が低い）が非常に濃厚で美味だったことから生まれたとされます。
水分が氷として除去されるため、麦芽風味、甘み、アルコール度数（9-14%以上）が極めて凝縮されます。
色は濃琥珀色～黒色。非常にリッチで複雑なモルト風味（ダークフルーツ、トースト、チョコ等）と強いアルコールの温かみ、驚くほど滑らかな口当たりが特徴です。",35,25,19世紀末？、ドイツ・フランケン地方（伝説）,14,10,1,30,18,5
29,english-brown-ale,イングリッシュ・ブラウンエール,5.5,4,2,2,3,イギリス発祥の伝統的なブラウンエール。ナッツやカラメル、ビスケットのような麦芽の風味が主体で、ホップの苦味や香りは控えめ。穏やかで飲みやすい。,"イギリス古来の茶色エール。現代では南部の甘口濃色タイプと北部のドライ淡色タイプに大別されます。
18世紀ポーター登場以前はブラウンモルトのビールが主流でした。ポーターやペールエールの台頭で一時衰退後、20世紀初頭に瓶詰めビールとして人気復活。
特徴は、色麦芽（クリスタルモルト等）由来のナッツ、カラメル、トフィー、ビスケット等の豊かで香ばしい麦芽風味と甘み。ホップの苦味や香りは非常に穏やかで、麦芽風味を引き立てます。
アルコール度数も比較的低めで、バランスが良く非常に飲みやすいスタイルです。ニューカッスル・ブラウンエール等が有名。",30,15,17世紀以前～、現代の形は20世紀初頭、イギリス,13,10,1,22,12,3
30,esb,ESB,6.2,4.6,3,3,3,エクストラ・スペシャル・ビター(Extra Special Bitter)の略称で、イギリス発祥のエールビール。モルトの風味とイングリッシュホップのバランスが特徴で、名前の「ビター」ほど苦くはなく、むしろバランスの取れた味わいが楽しめます。,"イギリス発祥の「ビター」の中でも、特にアルコール度数が高く（4.6～6.2%程度）、風味豊かなタイプ。「ESB」は「エクストラ・スペシャル・ビター」の略です。
「ビター」は19世紀に、甘口のマイルドエールと区別するためにホップを効かせたペールエール系を指す言葉として使われ始め、強さで分類されるようになりました。
「ESB」の名称は、ロンドンのフラーズ醸造所が1971年に発売した銘柄「フラーズ ESB」が有名になり、スタイルの代名詞となりました。
麦芽の風味（ビスケット、カラメル）とイギリス産ホップの香り（土、花、果実）、しっかりとした苦味のバランスが特徴です。ベストビターより飲みごたえがありつつ、エールらしい飲みやすさも持ちます。",50,30,20世紀半ば（名称普及は1971年頃）、イギリス,13,10,1,18,6,3
